"Bioproject.Accession";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Strain";"Phenotype";"Relevance";"Diseases";"Host.Name";"Ecosystem.Category";"Habitat";"Study.Name";"HumanHost";"Pathogenic"
"PRJNA74423";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii BJAB0715";"";"Medical";"Nosocomial infection, Opportunistic infection, Pneumonia";"Homo sapiens";"";"Fresh water, Soil";"Acinetobacter baumannii BJAB0715";TRUE;TRUE
"PRJNA49825";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans SM6";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans";TRUE;TRUE
"PRJNA72659";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria meningitidis";"Neisseria meningitidis Nm2732";"Parasite";"Medical";"Meningitis";"Homo sapiens";"Animal";"";"Neisseria meningitidis genome sequencing, Univ of Maryland, School of Medicine / IGS";TRUE;TRUE
"PRJNA82607";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus 118";"";"Medical";"Skin infection, Soft tissue infection";"Homo sapiens";"Human";"";"Staphylococcus aureus subsp. aureus 118";TRUE;TRUE
"PRJNA63819";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni Fiocruz R83";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Mammals";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA17107";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Stenotrophomonas";"Stenotrophomonas maltophilia";"Stenotrophomonas maltophilia R551-3";"Nonfermentative, Pathogen";"Human Pathogen, Medical";"Blood infection, Nosocomial infection, Respiratory infection, Urinary infection";"Homo sapiens";"";"Fresh water, Host, Plants, Soil";"Poplar endophytic bacteria";TRUE;TRUE
"PRJNA39085";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli TA206";"Pathogen";"Animal Pathogen, Medical, Swine Pathogen";"Diarrhea";"";"";"Host, Human intestinal microflora";"Escherichia coli genome sequencing - Broad Institute";TRUE;TRUE
"PRJNA49837";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans 14D";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Streptococcus mutans 14D";TRUE;TRUE
"PRJNA64233";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp P-4d";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA86615";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB01004";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA28623";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Borrelia";"Borrelia burgdorferi";"Borrelia burgdorferi 80a";"Pathogen";"Human Pathogen, Medical";"Lyme disease";"Homo sapiens";"Animal";"Host";"Borrelia burgdorferi 80a";TRUE;TRUE
"PRJNA53465";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii OIFC065";"Pathogen";"Medical, Nosocomial Pathogen";"Nosocomial infection, Pneumonia";"Homo sapiens";"Human";"Fresh water, Host, Human skin, Skin";"Genome sequencing of  Acinetobacter baumannii Isolates - Walter Reed Army Institute of Research";TRUE;TRUE
"PRJNA45823";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli Xuzhou21";"Pathogen";"Animal Pathogen, Medical, Swine Pathogen";"Diarrhea";"";"Human";"Feces, Gastrointestinal tract, Host, Human intestinal microflora";"Escherichia coli Xuzhou21";TRUE;TRUE
"PRJNA49785";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans A9";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Streptococcus mutans A9";TRUE;TRUE
"PRJNA31471";"Fusobacteria";"Fusobacteriia";"Fusobacteriales";"Fusobacteriaceae";"Fusobacterium";"Fusobacterium nucleatum";"Fusobacterium nucleatum nucleatum ATCC 23726";"Pathogen";"Human Microbiome Project (HMP), Human Pathogen, Medical";"Periodontal infection";"Homo sapiens";"Human";"Host, Oral cavity";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA257763";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori YN4-84";"";"Medical";"Gastroenteritis";"Homo sapiens";"";"";"Helicobacter pylori Genome sequencing - China CDC";TRUE;TRUE
"PRJNA221005";"Proteobacteria";"Gammaproteobacteria";"Oceanospirillales";"Oceanospirillaceae";"Balneatrix";"Balneatrix alpica";"Balneatrix alpica DSM 16621";"Opportunistic Pathogen";"GEBA-KMG, Tree of Life";"";"Homo sapiens";"Human";"Host, Human";"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG) project";TRUE;TRUE
"PRJNA19147";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia mallei";"Burkholderia mallei PRL-20";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Glanders, Pneumonia";"Homo sapiens";"Human";"Host";"Burkholderia mallei PRL-20";TRUE;TRUE
"PRJNA48725";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA17227";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA13117";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Nocardiaceae";"Nocardia";"Nocardia farcinica";"Nocardia farcinica IFM 10152 (re-annotation)";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Mastitis, Nocardiosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Nocardia farcinica IFM 10152";TRUE;TRUE
"PRJNA63975";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HC-70A1";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA16400";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Haemophilus";"Haemophilus influenzae";"Haemophilus influenzae NTHi PittEE";"Pathogen";"Human Pathogen, Medical";"Chronic bronchitis, Meningitis, Otitis media, Septicemia, Sinusitis";"Homo sapiens";"Human";"Host";"Haemophilus influenzae sequencing - Allegheny-Singer Research Institute";TRUE;TRUE
"PRJNA43693";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli O18:K1:H7 IHE3034";"Non-Pathogen";"Medical";"";"Homo sapiens";"Unclassified";"Host, Human intestinal microflora";"Escherichia coli O18:K1:H7 IHE3034";TRUE;FALSE
"PRJNA72105";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-289";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA60671";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus CIG547";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"Human";"Host";"Staphylococcus aureus aureus genomes";TRUE;TRUE
"PRJDA40637";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";"Lactobacillus rhamnosus";"Lactobacillus rhamnosus GG";"Non-Pathogen, Probiotic";"Biotechnological, Food industry, Human Microbiome Project (HMP), Medical";"";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Human, Intestinal tract";"Human Microbiome Project (HMP) Reference Genomes";TRUE;FALSE
"PRJNA64165";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp H-34";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA63881";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HC-1A2";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA65077";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni 2001025091";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA18493";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae 623-39";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"";"Fresh water, Host";"Vibrio cholerae 623-39";TRUE;TRUE
"PRJNA48683";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA11304";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA231786";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pyogenes";"Streptococcus pyogenes STAB903";"Pathogen";"Medical";"";"Homo sapiens";"";"";"Streptococcus pyogenes STAB903";TRUE;TRUE
"PRJNA51975";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Montevideo IA_2009159199";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Montevideo IA_2009159199";TRUE;TRUE
"PRJNA15608";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae H36B, ATCC BAA-1174";"Pathogen";"Human Pathogen, Medical";"Meningitis, Pneumonia, Septicemia";"Homo sapiens";"Human";"Host";"Streptococcus agalactiae H36B, ATCC BAA-1174";TRUE;TRUE
"PRJNA41929";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Enteritidis 18569";"Biofilm";"";"Food poisoning";"Homo sapiens";"";"";"Salmonella enterica subsp. enterica serovar Enteritidis str. 18569";TRUE;TRUE
"PRJNA46727";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio vulnificus";"Vibrio vulnificus VVyb1(BT3)";"Pathogen";"Human Pathogen, Medical";"Gastroenteritis, Septicemia, Wound infection";"Homo sapiens";"Fish";"Fish, Host, Sea water";"Vibrio vulnificus VVyb1(BT3)";TRUE;TRUE
"PRJNA30681";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli BL21 (DE3)";"Non-Pathogen";"Biotechnological, Recombinant protein expression";"";"";"Lab synthesis";"Host, Human intestinal microflora";"DD - Eddy Rubin";TRUE;FALSE
"PRJNA30503";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Yersinia";"Yersinia pestis";"Yersinia pestis Nepal516";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Bubonic and Pneumonic plague";"Homo sapiens";"Terrestrial";"Host, Soil";"Yersinia pestis Nepal516";TRUE;TRUE
"PRJNA40107";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Aggregatibacter";"Aggregatibacter actinomycetemcomitans";"Aggregatibacter actinomycetemcomitans sv. C D11S-1";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Periodontal infection, Periodontitis";"Homo sapiens";"Animal";"Host, Oral cavity";"Aggregatibacter genome sequencing, USC School of Dentistry, USA";TRUE;TRUE
"PRJNA277";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae sv. 4 TIGR4 (re-annotation)";"Alpha-hemolytic, Pathogen";"Human Pathogen, Medical";"Meningitis, Otitis media, Pneumonia";"Homo sapiens";"Human";"Host, Nasopharyngeal microflora";"Streptococcus pneumoniae TIGR4";TRUE;TRUE
"PRJNA86535";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00864";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA63911";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HC-19A1";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA101";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Ureaplasma";"Ureaplasma parvum";"Ureaplasma parvum sv. 3 ATCC 700970";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Meningitis, Pneumonia, Septicemia, Sexually transmitted disease, Supperative arthritis";"Homo sapiens";"Human";"Host, Urogenital tract";"Ureaplasma parvum sv 3, ATCC 700970";TRUE;TRUE
"PRJNA176667";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Borrelia";"Borrelia afzelii";"Borrelia afzelii HLJ01";"";"Medical";"Lyme disease";"Homo sapiens";"Human";"";"Borrelia afzelii HLJ01";TRUE;TRUE
"PRJNA37723";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Brucellaceae";"Brucella";"Brucella abortus";"Brucella abortus 2308 A";"Intracellular pathogen, Pathogen";"Biothreat, Comparative analysis, Human Pathogen, Mammal Pathogen, Medical";"Spontaneous abortion";"Homo sapiens";"Mammals";"Host";"WFO-LLNL proposal";TRUE;TRUE
"PRJNA48751";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA19077";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA37725";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Brucellaceae";"Ochrobactrum";"Ochrobactrum intermedium";"Ochrobactrum intermedium LMG 3301";"Pathogen";"Human Pathogen, Medical";"Meningitis";"Homo sapiens";"Human";"Host, Sludge, Soil";"Ochrobactrum intermedium LMG 3301";TRUE;TRUE
"PRJNA67197";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Flavobacteriaceae";"Capnocytophaga";"Capnocytophaga sp. oral taxon 326";"Capnocytophaga sp. oral taxon 326 F0382";"Opportunistic Pathogen";"Human Microbiome Project (HMP), Medical";"";"Homo sapiens";"Animal";"Host, Human oral cavity";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA41915";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Enteritidis SE8a";"Biofilm";"";"Food poisoning, Gastroenteritis";"Homo sapiens";"";"";"Salmonella enterica subsp. enterica serovar Enteritidis str. SE8a";TRUE;TRUE
"PRJNA72039";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-187";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA86455";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00002";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA279";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus epidermidis";"Staphylococcus epidermidis ATCC 12228";"Non-Biofilm forming, Non-Pathogen";"Medical";"";"Homo sapiens";"Human";"Host";"Staphylococcus epidermidis ATCC 12228";TRUE;FALSE
"PRJNA64319";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Yersinia";"Yersinia pestis";"Yersinia pestis PY-32";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Bubonic and Pneumonic plague";"Homo sapiens";"";"Host";"Genome sequence of Yersinia Pestis";TRUE;TRUE
"PRJNA33639";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Shigella";"Shigella flexneri";"Shigella flexneri sv. Fxv 2002017";"Pathogen";"Biothreat, Comparative analysis, Human Pathogen, Medical";"Dysenteria, Food poisoning, Shigellosis";"Homo sapiens";"Human";"Host";"Shigella flexneri 2002017";TRUE;TRUE
"PRJNA311";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pyogenes";"Streptococcus pyogenes sv. M3 MGAS315 (re-annotation)";"Pathogen";"Human Pathogen, Medical";"Rheumatic fever";"Homo sapiens";"Human";"Host";"Molecular genetic anatomy of inter- and intraserotype variation in the human bacterial pathogen group A Streptococcus";TRUE;TRUE
"PRJNA53741";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus epidermidis";"Staphylococcus epidermidis VCU109";"";"Medical";"Pneumonia, Septicemia";"";"Human";"Host, Human airways";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA48867";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA47461";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Animal";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA13280";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";"Lactobacillus salivarius";"Lactobacillus salivarius salivarius UCC118 (re-annotation)";"Non-Pathogen, Probiotic";"Biotechnological, Food industry";"";"Homo sapiens";"Human";"Host, Intestinal tract";"Lactobacillus salivarius salivarius UCC118";TRUE;FALSE
"PRJNA39703";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Mycoplasma";"Mycoplasma genitalium";"Mycoplasma genitalium M6320";"";"Human Pathogen, Medical";"Urogenital infection";"Homo sapiens";"Animal";"Host, Urogenital tract";"Mycoplasma genitalium genome sequencing and comparison";TRUE;TRUE
"PRJNA86211";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae CCUG 24810";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"Human";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA17959";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae sv. 6 SP6-BS73";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host, Nasopharyngeal microflora";"Comparative genomic analyses of seventeen Streptococcus pneumoniae strains: insights into the pneumococcal supragenome";TRUE;TRUE
